Date,Open,High,Low,Close,Adj Close,Volume
2023-07-26,97.37000274658203,101.31999969482422,97.27999877929688,99.75,99.75,6575800
2023-07-27,102.58999633789062,102.7300033569336,91.80000305175781,92.69000244140625,92.69000244140625,12232300
2023-07-28,94.80000305175781,96.91999816894531,93.55000305175781,94.76000213623047,94.76000213623047,7228000
2023-07-31,94.75,100.19999694824219,94.58999633789062,98.61000061035156,98.61000061035156,8493000
2023-08-01,95.87999725341797,95.94999694824219,89.2300033569336,94.1500015258789,94.1500015258789,11543600
2023-08-02,91.44999694824219,95.41000366210938,88.05000305175781,90.43000030517578,90.43000030517578,10666200
2023-08-03,89.0,93.44000244140625,88.45999908447266,90.75,90.75,10297200
2023-08-04,89.0,94.29000091552734,86.69999694824219,87.30999755859375,87.30999755859375,13187100
2023-08-07,87.19999694824219,87.30000305175781,82.08999633789062,85.95999908447266,85.95999908447266,10019500
2023-08-08,87.08999633789062,88.98999786376953,84.55000305175781,88.04000091552734,88.04000091552734,8986900
2023-08-09,88.52999877929688,88.9000015258789,84.08000183105469,84.33999633789062,84.33999633789062,7987100
2023-08-10,85.0,88.48999786376953,82.51000213623047,83.38999938964844,83.38999938964844,7697600
2023-08-11,82.05999755859375,83.4800033569336,80.47000122070312,81.01000213623047,81.01000213623047,5760100
2023-08-14,80.04000091552734,81.98999786376953,78.91000366210938,80.80999755859375,80.80999755859375,5753500
2023-08-15,81.1500015258789,83.0999984741211,79.11000061035156,79.18000030517578,79.18000030517578,7397300
2023-08-16,82.51000213623047,82.8499984741211,77.80000305175781,79.0,79.0,10140200
2023-08-17,78.37999725341797,79.18000030517578,75.4000015258789,75.55999755859375,75.55999755859375,9261600
2023-08-18,72.33999633789062,75.25,72.25,73.19000244140625,73.19000244140625,9928200
2023-08-21,73.25,76.02999877929688,72.0999984741211,75.27999877929688,75.27999877929688,7514900
2023-08-22,76.69000244140625,77.45999908447266,74.0199966430664,74.9000015258789,74.9000015258789,6336000
2023-08-23,74.3499984741211,78.16999816894531,74.06999969482422,77.77999877929688,77.77999877929688,6460900
2023-08-24,77.76000213623047,78.04000091552734,73.37999725341797,73.66000366210938,73.66000366210938,5585700
2023-08-25,74.31999969482422,75.58999633789062,72.41000366210938,74.26000213623047,74.26000213623047,5136800
2023-08-28,74.56999969482422,74.70999908447266,73.05000305175781,73.70999908447266,73.70999908447266,4043800
2023-08-29,73.5,86.26000213623047,73.16999816894531,84.69999694824219,84.69999694824219,24067300
2023-08-30,83.55999755859375,86.5,82.56999969482422,83.83000183105469,83.83000183105469,9448000
2023-08-31,84.43000030517578,84.56999969482422,78.9000015258789,79.5999984741211,79.5999984741211,8466400
2023-09-01,80.0,80.3499984741211,77.1500015258789,77.98999786376953,77.98999786376953,6662800
2023-09-05,78.0,79.29000091552734,76.27999877929688,77.5,77.5,4949000
2023-09-06,77.37999725341797,79.97000122070312,76.75,78.04000091552734,78.04000091552734,6636200
2023-09-07,76.2699966430664,82.06999969482422,75.45999908447266,81.79000091552734,81.79000091552734,6424000
2023-09-08,81.63999938964844,82.69000244140625,80.3499984741211,82.08999633789062,82.08999633789062,5680600
2023-09-11,82.0,83.19999694824219,77.79000091552734,80.62000274658203,80.62000274658203,7220700
2023-09-12,82.0199966430664,86.36000061035156,80.54000091552734,81.31999969482422,81.31999969482422,10519300
2023-09-13,81.88999938964844,83.1500015258789,79.62000274658203,79.86000061035156,79.86000061035156,5925700
2023-09-14,81.66999816894531,84.0999984741211,81.26000213623047,83.44999694824219,83.44999694824219,7145100
2023-09-15,82.73999786376953,83.31999969482422,79.94999694824219,82.1500015258789,82.1500015258789,6254500
2023-09-18,83.80000305175781,84.3499984741211,81.22000122070312,81.61000061035156,81.61000061035156,6246700
2023-09-19,82.1500015258789,82.4000015258789,77.7699966430664,78.12999725341797,78.12999725341797,7567400
2023-09-20,78.62000274658203,80.58999633789062,76.55999755859375,76.66999816894531,76.66999816894531,5459200
2023-09-21,74.37999725341797,75.19000244140625,72.86000061035156,74.41999816894531,74.41999816894531,6534800
2023-09-22,75.48999786376953,75.94999694824219,70.80999755859375,70.95999908447266,70.95999908447266,6321600
2023-09-25,69.91000366210938,72.36000061035156,69.62999725341797,71.75,71.75,5057500
2023-09-26,71.73999786376953,73.08999633789062,69.70999908447266,70.5199966430664,70.5199966430664,5168200
2023-09-27,72.72000122070312,73.4800033569336,69.94999694824219,71.5199966430664,71.5199966430664,5324600
2023-09-28,72.58999633789062,77.12999725341797,71.51000213623047,75.16000366210938,75.16000366210938,8252400
2023-09-29,76.75,77.5,74.56999969482422,75.08000183105469,75.08000183105469,5736100
2023-10-02,78.55000305175781,79.94999694824219,74.4000015258789,75.30999755859375,75.30999755859375,9709300
2023-10-03,74.33999633789062,75.6500015258789,71.75,72.4800033569336,72.4800033569336,5815500
2023-10-04,73.19999694824219,74.11000061035156,70.41000366210938,73.47000122070312,73.47000122070312,7613700
2023-10-05,73.52999877929688,75.4800033569336,72.0999984741211,74.62000274658203,74.62000274658203,6229300
2023-10-06,72.47000122070312,78.94999694824219,72.31999969482422,78.45999908447266,78.45999908447266,7923900
2023-10-09,76.54000091552734,80.05999755859375,76.5,79.0999984741211,79.0999984741211,5631300
2023-10-10,79.0,82.06999969482422,77.97000122070312,79.62000274658203,79.62000274658203,5645100
2023-10-11,79.2699966430664,80.48999786376953,75.5999984741211,77.3499984741211,77.3499984741211,6474100
2023-10-12,77.04000091552734,77.18000030517578,74.44999694824219,75.19000244140625,75.19000244140625,5338600
2023-10-13,75.0,75.19000244140625,72.0999984741211,73.43000030517578,73.43000030517578,6148400
2023-10-16,77.61000061035156,79.30000305175781,73.36000061035156,75.20999908447266,75.20999908447266,12608600
2023-10-17,74.80000305175781,79.12000274658203,74.5,77.45999908447266,77.45999908447266,7459500
2023-10-18,76.87999725341797,78.37999725341797,73.77999877929688,73.93000030517578,73.93000030517578,5123400
2023-10-19,74.27999877929688,76.16999816894531,72.72000122070312,73.0999984741211,73.0999984741211,5391200
2023-10-20,74.63999938964844,76.76000213623047,73.5,74.66000366210938,74.66000366210938,8414400
2023-10-23,75.5,80.7300033569336,72.41999816894531,77.20999908447266,77.20999908447266,13635700
2023-10-24,83.29000091552734,89.4000015258789,80.88999938964844,82.06999969482422,82.06999969482422,23689500
2023-10-25,83.51000213623047,84.08999633789062,77.4000015258789,77.79000091552734,77.79000091552734,13773200
2023-10-26,77.19999694824219,79.16000366210938,73.1500015258789,74.61000061035156,74.61000061035156,8294500
2023-10-27,76.44999694824219,76.5,70.41999816894531,70.77999877929688,70.77999877929688,9010600
2023-10-30,72.05000305175781,74.08000183105469,71.87999725341797,73.5999984741211,73.5999984741211,6454600
2023-10-31,73.5999984741211,77.47000122070312,73.55999755859375,77.12000274658203,77.12000274658203,6334600
2023-11-01,77.41999816894531,79.41000366210938,75.87000274658203,77.80999755859375,77.80999755859375,6878600
2023-11-02,81.70999908447266,84.80000305175781,80.80999755859375,84.5999984741211,84.5999984741211,12596200
2023-11-03,83.79000091552734,88.33999633789062,82.05000305175781,85.80000305175781,85.80000305175781,12166900
2023-11-06,86.81999969482422,89.2699966430664,84.08999633789062,86.37000274658203,86.37000274658203,9881900
2023-11-07,86.19999694824219,89.48999786376953,84.30000305175781,89.06999969482422,89.06999969482422,6762300
2023-11-08,88.80000305175781,89.1500015258789,84.69000244140625,88.31999969482422,88.31999969482422,7286000
2023-11-09,92.9000015258789,99.81999969482422,91.37000274658203,92.86000061035156,92.86000061035156,20941400
2023-11-10,94.4000015258789,96.22000122070312,91.80000305175781,92.91999816894531,92.91999816894531,9827900
2023-11-13,91.77999877929688,93.2699966430664,88.62000274658203,92.63999938964844,92.63999938964844,8860400
2023-11-14,94.91000366210938,95.31999969482422,89.79000091552734,92.08999633789062,92.08999633789062,10137700
2023-11-15,93.91999816894531,100.1500015258789,93.06999969482422,98.1500015258789,98.1500015258789,11968900
